CGA,HYL,31.613003
CGA,KTN,91.538393
HYL,CGA,31.613003
HYL,KTB,23.957944
HYL,KTN,60.490125
KTB,HYL,23.957944
KTB,KTN,63.640309
KTN,CGA,91.538393
KTN,HYL,60.490125
KTN,KTB,63.640309
KTN,MTM,26.397914
MTM,KTN,26.397914
ACC,BJL,2000.643712
ACC,ROB,1129.788145
BCN,BJL,3599.886355
BJL,ACC,2000.643712
BJL,BCN,3599.886355
BJL,DKR,180.184006
BJL,FNA,646.471829
BJL,LGW,4457.881001
DKR,BJL,180.184006
DKR,FNA,825.872806
FNA,BJL,646.471829
FNA,DKR,825.872806
FNA,LGW,4877.374385
FNA,ROB,409.593981
LGW,BJL,4457.881001
LGW,FNA,4877.374385
ROB,ACC,1129.788145
ROB,FNA,409.593981
AKV,YIK,178.158435
AKV,YPX,97.609204
XGR,YVP,157.438345
YGL,YGW,184.250328
YGL,YPX,714.910065
YGL,YUL,950.395081
YGW,YGL,184.250328
YGW,YSK,167.402139
YGW,YUD,159.648760
YGW,YUL,1127.197826
YGW,YUY,790.209296
YIK,AKV,178.158435
YIK,YZG,119.676554
YKG,YPJ,84.269548
YKG,YQC,115.233120
YKG,YVP,232.763654
YKL,YQB,947.168960
YKL,YVP,379.222447
YKL,YWK,209.453099
YKL,YZV,510.792160
YPH,YPX,181.191063
YPH,YUD,234.509941
YPH,YVP,565.154859
YPJ,YKG,84.269548
YPJ,YTQ,72.846180
YPJ,YVP,149.703485
YPX,AKV,97.609204
YPX,YGL,714.910065
YPX,YPH,181.191063
YPX,YVP,550.443812
YQB,YKL,947.168960
YQB,YUL,232.974399
YQC,YKG,115.233120
YQC,YWB,137.303117
YSK,YGW,167.402139
YSK,YUD,167.274901
YTQ,YPJ,72.846180
YTQ,YVP,109.467434
YUD,YGW,159.648760
YUD,YPH,234.509941
YUD,YSK,167.274901
YUL,YGL,950.395081
YUL,YGW,1127.197826
YUL,YQB,232.974399
YUL,YUY,492.465405
YUY,YGW,790.209296
YUY,YUL,492.465405
YVP,XGR,157.438345
YVP,YKG,232.763654
YVP,YKL,379.222447
YVP,YPH,565.154859
YVP,YPX,550.443812
YVP,YTQ,109.467434
YWB,YQC,137.303117
YWB,YZG,206.552107
YWK,YKL,209.453099
YWK,YZV,302.909800
YZG,YIK,119.676554
YZG,YWB,206.552107
YZV,YKL,510.792160
YZV,YWK,302.909800
BBO,JIB,233.257029
BBO,MGQ,932.092553
DXB,BBO,1984.901888
JED,BBO,1398.823529
JIB,DXB,1992.404276
JIB,JED,1204.445811
JIB,MGQ,1086.077563
MGQ,BBO,932.092553
MGQ,JIB,1086.077563
MGQ,NBO,1002.408670
NBO,MGQ,1002.408670
BKK,SIN,1416.908667
CAN,SIN,2648.398059
HAK,SIN,2182.823892
HGH,SIN,3650.036413
HKG,SIN,2565.540243
HKT,SIN,980.254662
KIX,MNL,2635.486627
KIX,TPE,1703.417890
KUL,SIN,297.520718
MNL,KIX,2635.486627
MNL,SIN,2374.781627
PEN,SIN,602.372391
PER,SIN,3910.749639
PNH,SIN,1137.654193
REP,PNH,235.584318
RGN,SIN,1931.929928
SGN,SIN,1092.999401
SIN,BKK,1416.908667
SIN,CAN,2648.398059
SIN,HAK,2182.823892
SIN,HGH,3650.036413
SIN,HKG,2565.540243
SIN,HKT,980.254662
SIN,KUL,297.520718
SIN,MNL,2374.781627
SIN,PEN,602.372391
SIN,PER,3910.749639
SIN,PNH,1137.654193
SIN,REP,1341.212774
SIN,RGN,1931.929928
SIN,SGN,1092.999401
SIN,SWA,2807.733595
SIN,TPE,3222.348136
SWA,SIN,2807.733595
TPE,KIX,1703.417890
TPE,SIN,3222.348136
ACH,EBA,528.054217
